"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",SF,"RB1","9","2 out of 5 stars","0"
"2",1,"CeeDee Lamb",DAL,"WR1","7","3 out of 5 stars","+1"
"3",1,"Tyreek Hill",MIA,"WR2","6","2 out of 5 stars","-1"
"4",1,"Breece Hall",NYJ,"RB2","12","2 out of 5 stars","0"
"5",1,"Ja'Marr Chase",CIN,"WR3","12","2 out of 5 stars","+2"
"6",1,"Bijan Robinson",ATL,"RB3","12","4 out of 5 stars","-1"
"7",1,"Amon-Ra St. Brown",DET,"WR4","5","4 out of 5 stars","+1"
"8",1,"Justin Jefferson",MIN,"WR5","6","3 out of 5 stars","-2"
"9",2,"A.J. Brown",PHI,"WR6","5","2 out of 5 stars","0"
"10",2,"Garrett Wilson",NYJ,"WR7","12","4 out of 5 stars","+2"
"11",2,"Jonathan Taylor",IND,"RB4","14","2 out of 5 stars","-1"
"12",2,"Jahmyr Gibbs",DET,"RB5","5","3 out of 5 stars","+1"
"13",2,"Saquon Barkley",PHI,"RB6","5","4 out of 5 stars","-2"
"14",2,"Puka Nacua",LAR,"WR8","6","3 out of 5 stars","0"
"15",2,"Marvin Harrison Jr.",ARI,"WR9","11","3 out of 5 stars","0"
"16",3,"Drake London",ATL,"WR10","12","4 out of 5 stars","+6"
"17",3,"Derrick Henry",BAL,"RB7","14","3 out of 5 stars","+1"
"18",3,"Davante Adams",LV,"WR11","10","3 out of 5 stars","+1"
"19",3,"Travis Etienne Jr.",JAC,"RB8","12","2 out of 5 stars","-2"
"20",3,"Chris Olave",NO,"WR12","12","3 out of 5 stars","+5"
"21",3,"Kyren Williams",LAR,"RB9","6","3 out of 5 stars","-5"
"22",3,"Mike Evans",TB,"WR13","11","3 out of 5 stars","+9"
