"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"265",9,"LeQuint Allen Jr.",JAC,"RB77","7","2 out of 5","4 out of 5","4 out of 5 stars","+80"
"266",9,"Kirk Cousins",LV,"QB32","13","2 out of 5","4 out of 5","1 out of 5 stars","-8"
"267",9,"Ja'Kobi Lane",BAL,"WR94","13","3 out of 5","4 out of 5","4 out of 5 stars","-118"
"268",9,"Michael Penix Jr.",ATL,"QB33","11","1 out of 5","5 out of 5","4 out of 5 stars","-7"
"269",9,"Najee Harris",NYG,"RB78","8","2 out of 5","4 out of 5","4 out of 5 stars","+8"
"270",9,"Greg Dulcich",MIA,"TE33","6","4 out of 5","4 out of 5","5 out of 5 stars","-70"
"271",9,"Ty Johnson",BUF,"RB79","7","-","-","2 out of 5 stars","-5"
"272",9,"Deshaun Watson",CLE,"QB34","11","1 out of 5","5 out of 5","4 out of 5 stars","-9"
"273",9,"Darius Slayton",NYG,"WR95","8","3 out of 5","4 out of 5","4 out of 5 stars","-"
"274",9,"Mason Taylor",NYJ,"TE34","13","1 out of 5","4 out of 5","4 out of 5 stars","+52"
"275",9,"Tyquan Thornton",KC,"WR96","5","2 out of 5","5 out of 5","2 out of 5 stars","+55"
"276",9,"Shedeur Sanders",CLE,"QB35","11","3 out of 5","4 out of 5","4 out of 5 stars","-24"
"277",9,"Elijah Sarratt",BAL,"WR97","13","4 out of 5","4 out of 5","4 out of 5 stars","+7"
"278",9,"Christian Kirk",SF,"WR98","8","3 out of 5","4 out of 5","2 out of 5 stars","+21"
"279",9,"DJ Giddens",IND,"RB80","13","2 out of 5","4 out of 5","4 out of 5 stars","+65"
"280",9,"Caleb Douglas",MIA,"WR99","6","2 out of 5","4 out of 5","3 out of 5 stars","-51"
"281",9,"Malik Davis",DAL,"RB81","14","-","-","4 out of 5 stars","-"
"282",9,"Trey Benson",ARI,"RB82","14","2 out of 5","4 out of 5","2 out of 5 stars","+9"
"283",9,"Will Reichard",MIN,"K17","6","-","-","2 out of 5 stars","-81"
"284",9,"Xavier Legette",CAR,"WR100","5","2 out of 5","4 out of 5","2 out of 5 stars","+63"
"285",9,"San Francisco 49ers",SF,"DST17","8","-","-","3 out of 5 stars","-72"
"286",9,"Devin Neal",NO,"RB83","8","2 out of 5","4 out of 5","3 out of 5 stars","+63"
"287",9,"Theo Johnson",NYG,"TE35","8","1 out of 5","5 out of 5","3 out of 5 stars","+3"
"288",9,"Marvin Mims Jr.",DEN,"WR101","10","3 out of 5","4 out of 5","2 out of 5 stars","-"
"289",9,"Adam Randall",BAL,"RB84","13","3 out of 5","4 out of 5","3 out of 5 stars","+49"
"290",9,"Brashard Smith",KC,"RB85","5","-","-","3 out of 5 stars","+56"
"291",9,"Eli Stowers",PHI,"TE36","10","4 out of 5","4 out of 5","4 out of 5 stars","-26"
"292",9,"Seth McGowan",IND,"RB86","13","4 out of 5","4 out of 5","4 out of 5 stars","+61"
"293",9,"Kendre Miller",NO,"RB87","8","2 out of 5","4 out of 5","3 out of 5 stars","-"
"294",10,"Emari Demercado",KC,"RB88","5","1 out of 5","5 out of 5","3 out of 5 stars","+60"
"295",10,"Atlanta Falcons",ATL,"DST18","11","-","-","4 out of 5 stars","-39"
"296",10,"Devin Singletary",NYG,"RB89","8","-","-","4 out of 5 stars","-26"
"297",10,"Cyrus Allen",KC,"WR102","5","4 out of 5","4 out of 5","2 out of 5 stars","-83"
"298",10,"Trevor Etienne",CAR,"RB90","5","-","-","1 out of 5 stars","-"
"299",10,"Kaleb Johnson",PIT,"RB91","9","1 out of 5","5 out of 5","2 out of 5 stars","+20"
"300",10,"Mack Hollins",NE,"WR103","11","-","-","2 out of 5 stars","-"
"301",10,"Tahj Brooks",CIN,"RB92","6","-","-","2 out of 5 stars","-"
"302",10,"Hollywood Brown",PHI,"WR104","10","-","-","4 out of 5 stars","+25"
"303",10,"New Orleans Saints",NO,"DST19","8","-","-","5 out of 5 stars","-14"
"304",10,"Kyle Williams",NE,"WR105","11","-","-","2 out of 5 stars","-"
"305",10,"Isaac Guerendo",SF,"RB93","8","-","-","2 out of 5 stars","-"
"306",10,"Jerome Ford",WAS,"RB94","7","2 out of 5","4 out of 5","4 out of 5 stars","+27"
"307",10,"Mike Gesicki",CIN,"TE37","6","-","-","3 out of 5 stars","+3"
"308",10,"Isaiah Bond",CLE,"WR106","11","-","-","3 out of 5 stars","-"
"309",10,"Jarquez Hunter",LAR,"RB95","11","-","-","5 out of 5 stars","-"
"310",10,"Charlie Smyth",NO,"K18","8","-","-","5 out of 5 stars","-13"
"311",10,"Brandon Aiyuk",SF,"WR107","8","2 out of 5","5 out of 5","2 out of 5 stars","-44"
"312",10,"Jaleel McLaughlin",DEN,"RB96","10","-","-","2 out of 5 stars","+24"
"313",10,"Skyler Bell",BUF,"WR108","7","-","-","4 out of 5 stars","+43"
"314",10,"Audric Estime",NO,"RB97","8","-","-","3 out of 5 stars","-"
"315",10,"Will Shipley",PHI,"RB98","10","-","-","4 out of 5 stars","-"
"316",10,"Indianapolis Colts",IND,"DST20","13","-","-","5 out of 5 stars","-"
"317",10,"Tyreek Hill",FA,"WR109","-","1 out of 5","5 out of 5","-","-112"
"318",10,"Andrei Iosivas",CIN,"WR110","6","-","-","4 out of 5 stars","-"
"319",10,"Jake Tonges",SF,"TE38","8","-","-","3 out of 5 stars","-60"
"320",10,"Chicago Bears",CHI,"DST21","10","-","-","2 out of 5 stars","-104"
"321",10,"Darnell Washington",PIT,"TE39","9","-","-","2 out of 5 stars","-"
"322",10,"Darren Waller",CAR,"TE40","5","-","-","2 out of 5 stars","0"
"323",10,"Kareem Hunt",FA,"RB99","-","-","-","-","-36"
"324",10,"Jahan Dotson",ATL,"WR111","11","-","-","3 out of 5 stars","+18"
"325",10,"Michael Mayer",LV,"TE41","13","-","-","3 out of 5 stars","+15"
"326",10,"Joe Mixon",FA,"RB100","-","-","-","-","-"
"327",10,"DeMario Douglas",NE,"WR112","11","-","-","2 out of 5 stars","-"
"328",11,"Carson Beck",ARI,"QB36","14","-","-","2 out of 5 stars","-56"
"329",11,"J.J. McCarthy",MIN,"QB37","6","-","-","5 out of 5 stars","-56"
"330",11,"Elijah Arroyo",SEA,"TE42","11","-","-","3 out of 5 stars","+13"
"331",11,"Jalen Tolbert",MIA,"WR113","6","-","-","3 out of 5 stars","-50"
"332",11,"Dallas Cowboys",DAL,"DST22","14","-","-","1 out of 5 stars","-133"
"333",11,"Erick All Jr.",CIN,"TE43","6","-","-","3 out of 5 stars","-"
"334",11,"Bryce Lance",NO,"WR114","8","-","-","3 out of 5 stars","-"
"335",11,"Cedric Tillman",CLE,"WR115","11","-","-","3 out of 5 stars","-"
"336",11,"Mac Jones",SF,"QB38","8","-","-","1 out of 5 stars","-"
"337",11,"Eli Raridon",NE,"TE44","11","-","-","4 out of 5 stars","-"
"338",11,"Tyler Higbee",LAR,"TE45","11","-","-","4 out of 5 stars","-"
"339",11,"Calvin Austin III",NYG,"WR116","8","-","-","4 out of 5 stars","-"
"340",11,"Noah Gray",KC,"TE46","5","-","-","4 out of 5 stars","-"
"341",11,"Xavier Hutchinson",HOU,"WR117","8","-","-","3 out of 5 stars","-"
"342",11,"Konata Mumpfield",LAR,"WR118","11","-","-","1 out of 5 stars","-"
"343",11,"Cole Kmet",CHI,"TE47","10","-","-","2 out of 5 stars","-"
"344",11,"Tez Johnson",TB,"WR119","10","-","-","4 out of 5 stars","-"
"345",11,"Dawson Knox",BUF,"TE48","7","-","-","3 out of 5 stars","-"
"346",11,"Justin Fields",KC,"QB39","5","-","-","2 out of 5 stars","-60"
"347",11,"Chris Brazzell II",CAR,"WR120","5","-","-","2 out of 5 stars","-"
"348",11,"Luke McCaffrey",WAS,"WR121","7","-","-","2 out of 5 stars","-"
"349",11,"Olamide Zaccheaus",ATL,"WR122","11","-","-","3 out of 5 stars","-"
"350",11,"Charlie Kolar",LAC,"TE49","7","-","-","4 out of 5 stars","-"
"351",11,"Brenen Thompson",LAC,"WR123","7","-","-","2 out of 5 stars","-1"
"352",11,"Max Klare",LAR,"TE50","11","-","-","4 out of 5 stars","-"
"353",11,"Bam Knight",ARI,"RB101","14","-","-","2 out of 5 stars","-"
"354",11,"Jalen Royals",KC,"WR124","5","-","-","2 out of 5 stars","-"
"355",11,"Kendrick Bourne",ARI,"WR125","14","-","-","2 out of 5 stars","-"
"356",11,"Carolina Panthers",CAR,"DST23","5","-","-","3 out of 5 stars","-"
"357",11,"Jake Elliott",PHI,"K19","10","-","-","5 out of 5 stars","-123"
"358",11,"Ty Simpson",LAR,"QB40","11","-","-","3 out of 5 stars","-64"
"359",11,"Joshua Palmer",BUF,"WR126","7","-","-","4 out of 5 stars","-7"
"360",11,"Eli Heidenreich",PIT,"RB102","9","-","-","2 out of 5 stars","-"
"361",11,"Ja'Tavion Sanders",CAR,"TE51","5","-","-","2 out of 5 stars","-"
"362",11,"Justin Joly",DEN,"TE52","10","-","-","4 out of 5 stars","-"
"363",11,"Michael Carter",TEN,"RB103","9","-","-","3 out of 5 stars","-"
"364",11,"Jawhar Jordan",HOU,"RB104","8","-","-","4 out of 5 stars","-"
"365",11,"Anthony Richardson Sr.",IND,"QB41","13","-","-","4 out of 5 stars","-"
"366",11,"New York Giants",NYG,"DST24","8","-","-","1 out of 5 stars","-131"
"367",11,"Treylon Burks",WAS,"WR127","7","-","-","2 out of 5 stars","-"
"368",11,"Tyler Bass",BUF,"K20","7","-","-","2 out of 5 stars","-115"
"369",11,"Roman Wilson",PIT,"WR128","9","-","-","3 out of 5 stars","-"
"370",11,"Kalif Raymond",CHI,"WR129","10","-","-","3 out of 5 stars","-"
"371",11,"Malik Benson",LV,"WR130","13","-","-","2 out of 5 stars","-"
"372",11,"Dont'e Thornton Jr.",LV,"WR131","13","-","-","2 out of 5 stars","-"
"373",11,"KaVontae Turpin",DAL,"WR132","14","-","-","2 out of 5 stars","-"
"374",11,"Tampa Bay Buccaneers",TB,"DST25","10","-","-","4 out of 5 stars","-89"
"375",11,"Phil Mafah",DAL,"RB105","14","-","-","4 out of 5 stars","-"
"376",11,"Raheim Sanders",CLE,"RB106","11","-","-","3 out of 5 stars","-"
"377",11,"Joe Flacco",CIN,"QB42","6","-","-","3 out of 5 stars","-81"
"378",11,"Savion Williams",GB,"WR133","11","-","-","5 out of 5 stars","-"
"379",11,"Jaylin Lane",WAS,"WR134","7","-","-","2 out of 5 stars","-"
"380",11,"John Metchie III",CAR,"WR135","5","-","-","2 out of 5 stars","-"
"381",11,"Cincinnati Bengals",CIN,"DST26","6","-","-","4 out of 5 stars","-"
"382",11,"Kevin Coleman Jr.",MIA,"WR136","6","-","-","3 out of 5 stars","-"
"383",11,"Roschon Johnson",CHI,"RB107","10","-","-","2 out of 5 stars","-"
"384",11,"Tommy Tremble",CAR,"TE53","5","-","-","2 out of 5 stars","-"
"385",11,"Jam Miller",NE,"RB108","11","-","-","2 out of 5 stars","-"
"386",11,"Noah Fant",NO,"TE54","8","-","-","2 out of 5 stars","-"
"387",11,"J'Mari Taylor",JAC,"RB109","7","-","-","4 out of 5 stars","-"
"388",11,"Zane Gonzalez",FA,"K21","-","-","-","-","-"
"389",11,"Luke Musgrave",GB,"TE55","11","-","-","2 out of 5 stars","-"
"390",11,"Jordan Whittington",LAR,"WR137","11","-","-","1 out of 5 stars","-"
"391",11,"Austin Ekeler",FA,"RB110","-","-","-","-","-123"
"392",11,"CJ Daniels",LAR,"WR138","11","-","-","1 out of 5 stars","-"
"393",11,"Tennessee Titans",TEN,"DST27","9","-","-","2 out of 5 stars","-79"
"394",11,"Zavion Thomas",CHI,"WR139","10","-","-","3 out of 5 stars","-"
"395",11,"Marcus Mariota",WAS,"QB43","7","-","-","2 out of 5 stars","-"
"396",11,"Joe Milton III",DAL,"QB44","14","-","-","2 out of 5 stars","-"
"397",11,"Ben Sinnott",WAS,"TE56","7","-","-","1 out of 5 stars","-"
"398",11,"Demarcus Robinson",SF,"WR140","8","-","-","2 out of 5 stars","-"
"399",11,"Colbie Young",CIN,"WR141","6","-","-","4 out of 5 stars","-"
"400",11,"Nick Westbrook-Ikhine",IND,"WR142","13","-","-","4 out of 5 stars","-"
"401",11,"Trey Smack",GB,"K22","11","-","-","4 out of 5 stars","-155"
"402",11,"Devontez Walker",BAL,"WR143","13","-","-","4 out of 5 stars","-"
"403",11,"Rasheen Ali",BAL,"RB111","13","-","-","3 out of 5 stars","-"
"404",11,"Mitchell Evans",CAR,"TE57","5","-","-","2 out of 5 stars","-"
"405",11,"Daniel Bellinger",TEN,"TE58","9","-","-","3 out of 5 stars","-"
"406",11,"Damien Martinez",GB,"RB112","11","-","-","4 out of 5 stars","-"
"407",12,"Cade Klubnik",NYJ,"QB45","13","-","-","4 out of 5 stars","-"
"408",12,"Austin Hooper",ATL,"TE59","11","-","-","3 out of 5 stars","-"
"409",12,"Jameis Winston",NYG,"QB46","8","-","-","4 out of 5 stars","-"
"410",12,"Ashton Dulin",IND,"WR144","13","-","-","4 out of 5 stars","-"
"411",12,"Miami Dolphins",MIA,"DST28","6","-","-","3 out of 5 stars","-"
"412",12,"Greg Dortch",DET,"WR145","6","-","-","4 out of 5 stars","-"
"413",12,"John Bates",WAS,"TE60","7","-","-","1 out of 5 stars","-"
"414",12,"Kyle Juszczyk",SF,"RB113","8","-","-","2 out of 5 stars","-"
"415",12,"Tutu Atwell",MIA,"WR146","6","-","-","3 out of 5 stars","-92"
"416",12,"Zavier Scott",MIN,"RB114","6","-","-","4 out of 5 stars","-"
"417",12,"Robert Henry Jr.",WAS,"RB115","7","-","-","4 out of 5 stars","-69"
"418",12,"Sione Vaki",DET,"RB116","6","-","-","5 out of 5 stars","-"
"419",12,"Nick Folk",ATL,"K23","11","-","-","0 out of 5 stars","-170"
"420",12,"Zach Ertz",FA,"TE61","-","-","-","-","-"
"421",12,"Riley Leonard",IND,"QB47","13","-","-","4 out of 5 stars","-"
"422",12,"Blake Grupe",IND,"K24","13","-","-","4 out of 5 stars","-"
"423",12,"Terrell Jennings",FA,"RB117","-","-","-","-","-"
"424",12,"Dameon Pierce",PHI,"RB118","10","-","-","4 out of 5 stars","-"
"425",12,"Las Vegas Raiders",LV,"DST29","13","-","-","4 out of 5 stars","-"
"426",12,"Deion Burks",IND,"WR147","13","-","-","4 out of 5 stars","-"
"427",12,"Odell Beckham Jr.",NYG,"WR148","8","-","-","4 out of 5 stars","-"
"428",12,"Tim Patrick",NYJ,"WR149","13","-","-","4 out of 5 stars","-"
"429",12,"Khalil Herbert",SF,"RB119","8","-","-","2 out of 5 stars","-"
"430",12,"Gardner Minshew II",ARI,"QB48","14","-","-","2 out of 5 stars","-"
"431",12,"Matt Hibner",BAL,"TE62","13","-","-","4 out of 5 stars","-"
"432",12,"Tommy Myers",FA,"TE63","-","-","-","-","-"
"433",12,"Jonnu Smith",FA,"TE64","-","-","-","-","-"
"434",12,"Jeremy McNichols",WAS,"RB120","7","-","-","4 out of 5 stars","-"
"435",12,"Dylan Laube",LV,"RB121","13","-","-","2 out of 5 stars","-"
"436",12,"Tyler Goodson",ATL,"RB122","11","-","-","2 out of 5 stars","-"
"437",12,"Quinn Ewers",MIA,"QB49","6","-","-","3 out of 5 stars","-"
"438",12,"Antonio Gibson",FA,"RB123","-","-","-","-","-"
"439",12,"Tai Felton",MIN,"WR150","6","-","-","5 out of 5 stars","-"
"440",12,"Elijah Higgins",ARI,"TE65","14","-","-","2 out of 5 stars","-"
"441",12,"Ronnie Rivers",LAR,"RB124","11","-","-","5 out of 5 stars","-"
"442",12,"Ty Chandler",NO,"RB125","8","-","-","3 out of 5 stars","-"
"443",12,"Josh Oliver",MIN,"TE66","6","-","-","4 out of 5 stars","-"
"444",12,"Tanner Koziol",JAC,"TE67","7","-","-","3 out of 5 stars","-"
"445",12,"Will Kacmarek",MIA,"TE68","6","-","-","5 out of 5 stars","-"
"446",12,"Jackson Hawes",BUF,"TE69","7","-","-","3 out of 5 stars","-"
"447",12,"Marlin Klein",HOU,"TE70","8","-","-","4 out of 5 stars","-"
"448",12,"Luke Schoonmaker",DAL,"TE71","14","-","-","2 out of 5 stars","-"
"449",12,"Barion Brown",NO,"WR151","8","-","-","3 out of 5 stars","-"
"450",12,"Noah Whittington",HOU,"RB126","8","-","-","4 out of 5 stars","-"
"451",12,"Jacob Cowing",SF,"WR152","8","-","-","2 out of 5 stars","-"
"452",12,"Reggie Gilliam",NE,"RB127","11","-","-","2 out of 5 stars","-"
"453",12,"Jahdae Walker",CHI,"WR153","10","-","-","3 out of 5 stars","-"
"454",12,"Washington Commanders",WAS,"DST30","7","-","-","2 out of 5 stars","-"
"455",12,"Dyami Brown",WAS,"WR154","7","-","-","2 out of 5 stars","-"
"456",12,"New York Jets",NYJ,"DST31","13","-","-","4 out of 5 stars","-"
"457",12,"Marquez Valdes-Scantling",DAL,"WR155","14","-","-","2 out of 5 stars","-"
"458",12,"Davis Mills",HOU,"QB50","8","-","-","4 out of 5 stars","-"
"459",12,"Lil'Jordan Humphrey",DEN,"WR156","10","-","-","2 out of 5 stars","-"
"460",12,"Jalen Reagor",MIA,"WR157","6","-","-","3 out of 5 stars","-"
"461",12,"Jalen Milroe",SEA,"QB51","11","-","-","4 out of 5 stars","-"
"462",12,"Xavier Restrepo",TEN,"WR158","9","-","-","3 out of 5 stars","-"
"463",12,"Adam Trautman",DEN,"TE72","10","-","-","4 out of 5 stars","-"
"464",12,"Jeremy Ruckert",NYJ,"TE73","13","-","-","4 out of 5 stars","-"
"465",12,"Xavier Smith",LAR,"WR159","11","-","-","1 out of 5 stars","-"
"466",12,"Foster Moreau",HOU,"TE74","8","-","-","4 out of 5 stars","-"
"467",12,"Frank Gore Jr.",BUF,"RB128","7","-","-","2 out of 5 stars","-"
"468",12,"Miles Sanders",FA,"RB129","-","-","-","-","-"
"469",12,"Sam Roush",CHI,"TE75","10","-","-","2 out of 5 stars","-"
"470",12,"Tyler Conklin",DET,"TE76","6","-","-","3 out of 5 stars","-"
"471",12,"Joey Slye",TEN,"K25","9","-","-","4 out of 5 stars","-154"
"472",12,"Donovan Edwards",MIA,"RB130","6","-","-","3 out of 5 stars","-"
"473",12,"Durham Smythe",BAL,"TE77","13","-","-","4 out of 5 stars","-"
"474",12,"Roman Hemby",LV,"RB131","13","-","-","2 out of 5 stars","-"
"475",12,"Hunter Luepke",DAL,"RB132","14","-","-","4 out of 5 stars","-"
"476",12,"Michael Trigg",DAL,"TE78","14","-","-","2 out of 5 stars","-"
"477",12,"Mitch Tinsley",CIN,"WR160","6","-","-","4 out of 5 stars","-"
"478",12,"Miles Davis",CAR,"RB133","5","-","-","1 out of 5 stars","-"
"479",12,"Jaydn Ott",KC,"RB134","5","-","-","3 out of 5 stars","-"
"480",12,"Jacob Saylors",DET,"RB135","6","-","-","5 out of 5 stars","-"
"481",12,"Jaret Patterson",LAC,"RB136","7","-","-","3 out of 5 stars","-"
"482",12,"Ben Sauls",NYG,"K26","8","-","-","2 out of 5 stars","-"
"483",12,"Myles Montgomery",FA,"RB137","-","-","-","-","-185"
"484",12,"Daniel Carlson",LV,"K27","13","-","-","1 out of 5 stars","-"
"485",12,"Jake Bobo",SEA,"WR161","11","-","-","3 out of 5 stars","-"
"486",12,"Brandon McManus",FA,"K28","-","-","-","-","-"
"487",12,"Drew Stevens",WAS,"K29","7","-","-","5 out of 5 stars","-"
"488",12,"Jake Moody",FA,"K30","-","-","-","-","-"
"489",12,"Travis Homer",PIT,"RB138","9","-","-","2 out of 5 stars","-"
"490",12,"Scotty Miller",CHI,"WR162","10","-","-","3 out of 5 stars","-"
"491",12,"Elijah Mitchell",FA,"RB139","-","-","-","-","-"
"492",12,"Jimmy Horn Jr.",CAR,"WR163","5","-","-","2 out of 5 stars","-"
"493",12,"Van Jefferson",WAS,"WR164","7","-","-","2 out of 5 stars","-"
"494",12,"Isaiah Williams",FA,"WR165","-","-","-","-","-"
"495",12,"Cedrick Wilson Jr.",DET,"WR166","6","-","-","4 out of 5 stars","-"
"496",12,"Spencer Rattler",NO,"QB52","8","-","-","3 out of 5 stars","-"
"497",12,"KeAndre Lambert-Smith",LAC,"WR167","7","-","-","2 out of 5 stars","-"
"498",12,"Theo Wease Jr.",MIA,"WR168","6","-","-","3 out of 5 stars","-"
"499",12,"DeAndre Hopkins",BAL,"WR169","13","-","-","4 out of 5 stars","-"
"500",12,"Arizona Cardinals",ARI,"DST32","14","-","-","2 out of 5 stars","-"
"501",12,"Tyler Lockett",LV,"WR170","13","-","-","2 out of 5 stars","-"
"502",12,"Chris Blair",ATL,"WR171","11","-","-","3 out of 5 stars","-"
"503",12,"David Sills V",TB,"WR172","10","-","-","4 out of 5 stars","-"
"504",12,"Trey Lance",LAC,"QB53","7","-","-","2 out of 5 stars","-"
"505",12,"Tyler Huntley",BAL,"QB54","13","-","-","3 out of 5 stars","-"
"506",12,"Michael Woods II",DEN,"WR173","10","-","-","2 out of 5 stars","-"
"507",12,"Tyrod Taylor",GB,"QB55","11","-","-","4 out of 5 stars","-"
"508",13,"Noah Brown",LV,"WR174","13","-","-","2 out of 5 stars","-"
"509",13,"Mo Alie-Cox",IND,"TE79","13","-","-","3 out of 5 stars","-"
"510",13,"Jelani Woods",NYJ,"TE80","13","-","-","4 out of 5 stars","-"
"511",13,"Will Levis",TEN,"QB56","9","-","-","3 out of 5 stars","-"
"512",13,"Nate Boerkircher",JAC,"TE81","7","-","-","3 out of 5 stars","-"
"513",13,"Isaiah Williams",NYJ,"WR175","13","-","-","4 out of 5 stars","-"
"514",13,"Taysom Hill",FA,"TE82","-","-","-","-","-"
"515",13,"Nate Adkins",DEN,"TE83","10","-","-","4 out of 5 stars","-"
"516",13,"Jack Endries",CIN,"TE84","6","-","-","3 out of 5 stars","-"
"517",13,"Cade Stover",HOU,"TE85","8","-","-","4 out of 5 stars","-"
"518",13,"Moliki Matavao",NO,"TE86","8","-","-","2 out of 5 stars","-"
"519",13,"Bauer Sharp",TB,"TE87","10","-","-","2 out of 5 stars","-"
"520",13,"Elijah Tau-Tolliver",BAL,"RB140","13","-","-","3 out of 5 stars","-"
"521",13,"Kalel Mullings",TEN,"RB141","9","-","-","3 out of 5 stars","-"
"522",13,"Chad Ryland",ARI,"K31","14","-","-","2 out of 5 stars","-"
"523",13,"Elijah Moore",PHI,"WR176","10","-","-","4 out of 5 stars","-"
"524",13,"Miles Kitselman",FA,"TE88","-","-","-","-","-"
"525",13,"Josh Cuevas",BAL,"TE89","13","-","-","4 out of 5 stars","-"
"526",13,"Will Dissly",FA,"TE90","-","-","-","-","-"
"527",13,"Derius Davis",LAC,"WR177","7","-","-","2 out of 5 stars","-"
"528",13,"Lew Nichols III",PIT,"RB142","9","-","-","2 out of 5 stars","-"
"529",13,"Ryan Fitzgerald",CAR,"K32","5","-","-","0 out of 5 stars","-"
"530",13,"Cash Jones",ATL,"RB143","11","-","-","2 out of 5 stars","-"
"531",13,"Raheem Mostert",LV,"RB144","13","-","-","2 out of 5 stars","-"
"532",13,"Max Bredeson",MIN,"RB145","6","-","-","4 out of 5 stars","-"
"533",13,"Khalil Dinkins",SF,"TE91","8","-","-","3 out of 5 stars","-"
"534",13,"Nathan Carter",ATL,"RB146","11","-","-","2 out of 5 stars","-"
"535",13,"Reggie Virgil",ARI,"WR178","14","-","-","2 out of 5 stars","-"
"536",13,"British Brooks",HOU,"RB147","8","-","-","4 out of 5 stars","-"
"537",13,"Spencer Shrader",IND,"K33","13","-","-","4 out of 5 stars","-"
"538",13,"Brandin Cooks",FA,"WR179","-","-","-","-","-"
"539",13,"Juice Wells Jr.",ATL,"WR180","11","-","-","3 out of 5 stars","-"
"540",13,"Sincere McCormick",SF,"RB148","8","-","-","2 out of 5 stars","-"
"541",13,"Alexander Mattison",FA,"RB149","-","-","-","-","-200"
"542",13,"Dominic Zvada",NYG,"K34","8","-","-","2 out of 5 stars","-"
"543",13,"Efton Chism III",NE,"WR181","11","-","-","2 out of 5 stars","-"
"544",13,"Alec Ingold",LAC,"RB150","7","-","-","3 out of 5 stars","-"
"545",13,"Dohnte Meyers",CIN,"WR182","6","-","-","4 out of 5 stars","-"
"546",13,"Patrick Ricard",NYG,"RB151","8","-","-","4 out of 5 stars","-"
"547",13,"Cam Akers",FA,"RB152","-","-","-","-","-"
"548",13,"Myles Price",MIN,"WR183","6","-","-","5 out of 5 stars","-"
"549",13,"JuJu Smith-Schuster",FA,"WR184","-","-","-","-","-"
"550",13,"Michael Burton",CLE,"RB153","11","-","-","3 out of 5 stars","-"
"551",13,"Jason Sanders",NYJ,"K35","13","-","-","2 out of 5 stars","-"
"552",13,"Kyle Allen",BUF,"QB57","7","-","-","3 out of 5 stars","-"
"553",13,"Jarrett Stidham",DEN,"QB58","10","-","-","3 out of 5 stars","-"
"554",13,"Jakobie Keeney-James",PIT,"WR185","9","-","-","3 out of 5 stars","-"
"555",13,"Tommy DeVito",NE,"QB59","11","-","-","2 out of 5 stars","-"
"556",13,"Tahj Washington",MIA,"WR186","6","-","-","3 out of 5 stars","-"
"557",13,"Jared Wayne",HOU,"WR187","8","-","-","3 out of 5 stars","-"
"558",13,"Coleman Owen",IND,"WR188","13","-","-","4 out of 5 stars","-"
"559",13,"Adam Prentice",DEN,"RB154","10","-","-","2 out of 5 stars","-264"
"560",13,"Eric Gray",NYG,"RB155","8","-","-","4 out of 5 stars","-"
"561",13,"Kevin Austin Jr.",NO,"WR189","8","-","-","3 out of 5 stars","-"
"562",13,"Casey Washington",CAR,"WR190","5","-","-","2 out of 5 stars","-"
"563",13,"Mecole Hardman Jr.",BUF,"WR191","7","-","-","4 out of 5 stars","-"
"564",13,"Jake Browning",TB,"QB60","10","-","-","2 out of 5 stars","-"
"565",13,"Maurice Alexander",CHI,"WR192","10","-","-","3 out of 5 stars","-"
"566",13,"Drew Allar",PIT,"QB61","9","-","-","2 out of 5 stars","-"
"567",13,"Jordan Watkins",SF,"WR193","8","-","-","2 out of 5 stars","-"
"568",13,"Justin Watson",HOU,"WR194","8","-","-","3 out of 5 stars","-"
"569",13,"Quentin Skinner",BUF,"WR195","7","-","-","4 out of 5 stars","-"
"570",13,"Dalevon Campbell",LAC,"WR196","7","-","-","2 out of 5 stars","-"
"571",13,"Isaiah Hodgins",NYG,"WR197","8","-","-","4 out of 5 stars","-"
"572",13,"Jalen Brooks",ARI,"WR198","14","-","-","2 out of 5 stars","-"
"573",13,"Velus Jones Jr.",SEA,"WR199","11","-","-","3 out of 5 stars","-"
"574",13,"Diontae Johnson",FA,"WR200","-","-","-","-","-"
"575",13,"Jaheim Bell",PIT,"TE92","9","-","-","2 out of 5 stars","-"
"576",13,"Taylen Green",CLE,"QB62","11","-","-","4 out of 5 stars","-"
"577",13,"Anderson Castle",IND,"RB156","13","-","-","4 out of 5 stars","-"
"578",13,"Jeshaun Jones",MIN,"WR201","6","-","-","5 out of 5 stars","-"
"579",13,"Kenny McIntosh",FA,"RB157","-","-","-","-","-"
"580",13,"Drake Dabney",GB,"TE93","11","-","-","2 out of 5 stars","-"
"581",13,"Albert Okwuegbunam Jr.",LV,"TE94","13","-","-","3 out of 5 stars","-"
"582",13,"Raheem Blackshear",DET,"RB158","6","-","-","5 out of 5 stars","-"
"583",13,"Cooper Rush",ATL,"QB63","11","-","-","4 out of 5 stars","-"
"584",13,"Bub Means",NO,"WR202","8","-","-","3 out of 5 stars","-"
"585",13,"Ulysses Bentley IV",IND,"RB159","13","-","-","4 out of 5 stars","-"
"586",13,"Brycen Tremayne",CAR,"WR203","5","-","-","2 out of 5 stars","-"
"587",13,"Tyson Bagent",CHI,"QB64","10","-","-","3 out of 5 stars","-"
